;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
0;48811,2;16272,98;14301,94;8279,96;87666,08;46859,06;15890,75;14112,62;8238,19;85100,62;47089,97;15491,98;14225,08;8871,62;85678,65;47463,1;15774,53;14199,44;8051,75;85488,82;47377,88;15368,65;13940,39;7637,79;84324,7;3,03;5,88;2,59;8,41;3,96;1,1;3,4;1,24;7,86;0,92;0,61;0,8;2,04;16,15;1,61;0,18;2,64;1,86;5,42;1,38;1433,32;904,33;361,55;642,17;3341,38;-518,82;522,1;172,23;600,4;775,92;-287,91;123,33;284,69;1233,83;1353,95;85,22;405,88;259,05;413,96;1164,12
1;47281,53;15681,54;14053,3;8199,46;85215,83;45479,87;15320,43;13866,23;8181,53;82848,06;45823,23;14985,7;13969,09;8783,41;83561,43;45660,39;14803,64;13853,59;7986,47;82304,09;46624,71;14914,21;13702,39;7230,6;82471,91;1,41;5,14;2,56;13,4;3,33;2,46;2,72;1,2;13,15;0,46;1,72;0,48;1,95;21,48;1,32;2,07;0,74;1,1;10,45;0,2;656,82;767,33;350,91;968,86;2743,92;-1144,84;406,22;163,84;950,93;376,15;-801,48;71,49;266,7;1552,81;1089,52;-964,32;-110,57;151,2;755,87;-167,82
2;45854,09;15142,26;13811,66;8163,43;82971,44;44201,85;14798,02;13632,99;8107,33;80740,19;44588,54;14505,66;13729,68;8683,39;81507,27;44333,83;14163,0;13605,5;7912,4;80014,73;45832,99;14466,33;13456,97;6909,05;80665,34;0,05;4,67;2,64;18,16;2,86;3,56;2,29;1,31;17,34;0,09;2,72;0,27;2,03;25,68;1,04;3,27;2,1;1,1;14,52;0,81;21,1;675,93;354,69;1254,38;2306,1;-1631,14;331,69;176,02;1198,28;74,85;-1244,45;39,33;272,71;1774,34;841,93;-1499,16;-303,33;148,53;1003,35;-650,61
3;44618,44;14695,06;13582,79;8187,59;81083,88;43105,26;14361,05;13424,23;8007,21;78897,75;43425,96;14076,49;13518,54;8564,38;79585,37;43232,06;13799,32;13461,7;7832,19;78325,27;44989,38;14031,93;13207,06;6729,0;78957,36;0,82;4,73;2,84;21,68;2,69;4,19;2,35;1,64;19,0;0,08;3,48;0,32;2,36;27,28;0,8;3,91;1,66;1,93;16,39;0,8;-370,94;663,13;375,73;1458,59;2126,52;-1884,12;329,12;217,17;1278,21;-59,61;-1563,42;44,56;311,48;1835,38;628,01;-1757,32;-232,61;254,64;1103,19;-632,09
4;43613,25;14330,93;13367,51;8172,56;79484,25;42186,75;14005,52;13244,03;7909,49;77345,79;42407,54;13716,45;13327,92;8437,63;77889,54;42355,09;13478,18;13291,26;7747,78;76872,31;44181,34;13619,24;12996,92;6627,26;77424,76;1,29;5,23;2,85;23,32;2,66;4,51;2,84;1,9;19,35;0,1;4,01;0,71;2,55;27,32;0,6;4,13;1,04;2,26;16,91;0,71;-568,09;711,69;370,59;1545,3;2059,49;-1994,59;386,28;247,11;1282,23;-78,97;-1773,8;97,21;331,0;1810,37;464,78;-1826,25;-141,06;294,34;1120,52;-552,45
5;42844,45;14031,37;13167,32;8037,31;78080,45;41427,32;13716,56;13091,13;7839,51;76074,52;41596,91;13434,56;13148,26;8315,21;76494,94;41645,28;13201,28;13094,76;7660,71;75602,03;43494,24;13243,01;12860,39;6533,17;76130,81;1,49;5,95;2,39;23,02;2,56;4,75;3,58;1,79;20,0;0,07;4,36;1,45;2,24;27,28;0,48;4,25;0,32;1,82;17,26;0,69;-649,79;788,36;306,93;1504,14;1949,64;-2066,92;473,55;230,74;1306,34;-56,29;-1897,33;191,55;287,87;1782,04;364,13;-1848,96;-41,73;234,37;1127,54;-528,78
6;42237,8;13788,99;12991,29;7889,25;76907,33;40829,01;13477,28;12950,04;7774,01;75030,34;40991,97;13209,39;12982,35;8193,94;75377,65;41142,03;12991,79;12949,74;7580,7;74664,26;42904,25;12942,64;12748,14;6465,31;75060,34;1,55;6,54;1,91;22,02;2,46;4,84;4,13;1,58;20,24;0,04;4,46;2,06;1,84;26,74;0,42;4,11;0,38;1,58;17,25;0,53;-666,45;846,35;243,15;1423,94;1846,99;-2075,24;534,64;201,9;1308,7;-30,0;-1912,28;266,75;234,21;1728,63;317,31;-1762,22;49,15;201,6;1115,39;-396,08
7;41728,68;13600,08;12851,21;7837,08;76017,05;40396,43;13276,09;12812,48;7687,7;74172,7;40571,69;13018,74;12839,94;8071,25;74501,62;40751,92;12812,2;12854,19;7477,21;73895,52;42390,49;12747,64;12614,25;6447,52;74199,9;1,56;6,69;1,88;21,55;2,45;4,7;4,15;1,57;19,23;0,04;4,29;2,13;1,79;25,18;0,41;3,87;0,51;1,9;15,97;0,41;-661,81;852,44;236,96;1389,56;1817,15;-1994,06;528,45;198,23;1240,18;-27,2;-1818,8;271,1;225,69;1623,73;301,72;-1638,57;64,56;239,94;1029,69;-304,38
8;41371,01;13464,64;12762,32;7806,3;75404,27;40123,52;13124,43;12713,07;7595,73;73556,75;40305,19;12868,07;12746,29;7962,07;73881,62;40517,63;12717,88;12757,0;7388,31;73380,82;42053,19;12623,35;12509,7;6435,23;73621,47;1,62;6,66;2,02;21,31;2,42;4,59;3,97;1,63;18,03;0,09;4,16;1,94;1,89;23,73;0,35;3,65;0,75;1,98;14,81;0,33;-682,18;841,29;252,62;1371,07;1782,8;-1929,67;501,08;203,37;1160,5;-64,72;-1748,0;244,72;236,59;1526,84;260,15;-1535,56;94,53;247,3;953,08;-240,65
9;41224,89;13388,3;12720,57;7711,91;75045,67;39997,78;13037,99;12665,62;7520,58;73221,97;40164,66;12772,47;12701,88;7879,49;73518,5;40499,17;12686,86;12673,26;7346,69;73205,98;41967,95;12534,69;12471,29;6385,47;73359,4;1,77;6,81;2,0;20,77;2,3;4,69;4,02;1,56;17,78;0,19;4,3;1,9;1,85;23,4;0,22;3,5;1,21;1,62;15,05;0,21;-743,06;853,61;249,28;1326,44;1686,27;-1970,17;503,3;194,33;1135,11;-137,43;-1803,29;237,78;230,59;1494,02;159,1;-1468,78;152,17;201,97;961,22;-153,42
