;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
0;46824,07;14777,79;14069,57;8142,01;83813,44;45805,61;14345,73;13827,9;7820,66;81799,9;45563,08;14177,18;14073,06;8378,9;82192,22;47120,07;14814,5;14029,1;7830,18;83793,85;46746,09;14557,95;13949,45;7384,53;82638,02;0,17;1,51;0,86;10,26;1,42;2,01;1,46;0,87;5,91;1,01;2,53;2,62;0,89;13,47;0,54;0,8;1,76;0,57;6,03;1,4;77,98;219,84;120,12;757,48;1175,42;-940,48;-212,22;-121,55;436,13;-838,12;-1183,01;-380,77;123,61;994,37;-445,8;373,98;256,55;79,65;445,65;1155,83
1;45457,18;14256,4;13868,45;8118,15;81700,18;44595,23;13834,71;13632,47;7778,2;79840,61;44358,38;13659,26;13851,94;8319,52;80189,1;44957,7;14303,1;13707,29;7824,98;80793,07;45951,23;14068,74;13765,05;7331,06;81116,08;1,08;1,33;0,75;10,74;0,72;2,95;1,66;0,96;6,1;1,57;3,47;2,91;0,63;13,48;1,14;2,16;1,67;0,42;6,74;0,4;-494,05;187,66;103,4;787,09;584,1;-1356,0;-234,03;-132,58;447,14;-1275,47;-1592,85;-409,48;86,89;988,46;-926,98;-993,53;234,36;-57,76;493,92;-323,01
2;44167,49;13774,22;13651,85;8085,15;79678,71;43456,52;13373,19;13436,47;7727,5;77993,68;43237,57;13190,1;13643,29;8252,44;78323,4;43630,75;13842,51;13496,12;7767,36;78736,74;45152,4;13607,57;13579,37;7264,28;79603,63;2,18;1,22;0,53;11,3;0,09;3,76;1,72;1,05;6,38;2,02;4,24;3,07;0,47;13,6;1,61;3,37;1,73;0,61;6,93;1,09;-984,91;166,65;72,48;820,86;75,08;-1695,88;-234,38;-142,9;463,22;-1609,95;-1914,83;-417,47;63,92;988,16;-1280,23;-1521,65;234,94;-83,25;503,07;-866,89
3;43021,15;13361,16;13413,7;8034,81;77830,82;42445,85;12995,9;13243,36;7664,2;76349,31;42260,67;12805,82;13455,88;8172,26;76694,63;42666,0;13468,5;13330,21;7654,7;77119,41;44335,04;13194,27;13395,64;7177,5;78102,45;2,96;1,26;0,13;11,94;0,35;4,26;1,5;1,14;6,78;2,24;4,68;2,94;0,45;13,86;1,8;3,76;2,08;0,49;6,65;1,26;-1313,89;166,89;18,06;857,31;-271,63;-1889,19;-198,37;-152,28;486,7;-1753,14;-2074,37;-388,45;60,24;994,76;-1407,82;-1669,04;274,23;-65,43;477,2;-983,04
4;42040,03;13009,91;13185,68;7962,77;76198,39;41558,45;12678,53;13072,72;7599,45;74909,15;41392,22;12492,02;13283,87;8082,78;75250,89;41861,52;13120,07;13155,81;7602,33;75739,73;43442,13;12815,7;13235,16;7090,5;76583,48;3,23;1,52;0,37;12,3;0,5;4,34;1,07;1,23;7,18;2,19;4,72;2,53;0,37;13,99;1,74;3,64;2,38;0,6;7,22;1,1;-1402,1;194,21;-49,48;872,27;-385,09;-1883,68;-137,17;-162,44;508,95;-1674,33;-2049,91;-323,68;48,71;992,28;-1332,59;-1580,61;304,37;-79,35;511,83;-843,75
5;41228,03;12707,45;12998,56;7870,54;74804,58;40780,88;12391,52;12938,01;7543,24;73653,65;40597,97;12225,25;13120,24;7989,0;73932,46;41213,14;12815,36;12984,03;7589,82;74602,35;42459,16;12462,05;13112,35;7022,88;75056,44;2,9;1,97;0,87;12,07;0,34;3,95;0,57;1,33;7,41;1,87;4,38;1,9;0,06;13,76;1,5;2,93;2,84;0,98;8,07;0,61;-1231,13;245,4;-113,79;847,66;-251,86;-1678,28;-70,53;-174,34;520,36;-1402,79;-1861,19;-236,8;7,89;966,12;-1123,98;-1246,02;353,31;-128,32;566,94;-454,09
6;40561,35;12455,11;12841,82;7779,3;73637,58;40126,2;12143,43;12811,99;7485,51;72567,13;39943,82;11996,39;12968,08;7891,45;72799,74;40695,08;12586,77;12846,06;7530,26;73658,17;41584,22;12169,84;12996,12;6967,0;73717,17;2,46;2,34;1,19;11,66;0,11;3,51;0,22;1,42;7,44;1,56;3,94;1,43;0,22;13,27;1,24;2,14;3,43;1,15;8,08;0,08;-1022,87;285,27;-154,3;812,3;-79,59;-1458,02;-26,41;-184,13;518,51;-1150,04;-1640,4;-173,45;-28,04;924,45;-917,43;-889,14;416,93;-150,06;563,26;-59,0
7;40018,58;12255,95;12703,29;7707,95;72685,77;39613,07;11949,22;12674,06;7414,86;71651,21;39490,45;11803,18;12836,36;7791,67;71921,66;40301,3;12425,43;12737,91;7401,86;72866,5;41009,79;11972,31;12862,79;6910,9;72755,78;2,42;2,37;1,24;11,53;0,1;3,41;0,19;1,47;7,29;1,52;3,7;1,41;0,21;12,74;1,15;1,73;3,78;0,97;7,1;0,15;-991,21;283,64;-159,5;797,05;-70,01;-1396,72;-23,09;-188,73;503,96;-1104,57;-1519,34;-169,13;-26,43;880,77;-834,12;-708,49;453,12;-124,88;490,96;110,72
8;39615,53;12105,84;12605,48;7646,47;71973,32;39256,0;11811,23;12570,95;7334,72;70972,9;39177,28;11656,62;12747,33;7699,77;71281,0;39974,29;12302,82;12642,71;7310,38;72230,2;40693,54;11843,29;12764,08;6852,57;72153,48;2,65;2,22;1,24;11,59;0,25;3,53;0,27;1,51;7,04;1,64;3,73;1,58;0,13;12,36;1,21;1,77;3,88;0,95;6,68;0,11;-1078,01;262,55;-158,6;793,9;-180,16;-1437,54;-32,06;-193,13;482,15;-1180,58;-1516,26;-186,67;-16,75;847,2;-872,48;-719,25;459,53;-121,37;457,81;76,72
9;39360,38;12000,06;12555,85;7581,98;71498,27;39045,31;11725,42;12527,66;7254,66;70553,05;38925,21;11568,92;12697,52;7625,01;70816,66;39729,9;12250,27;12578,77;7258,12;71817,06;40527,93;11747,49;12729,24;6795,03;71799,69;2,88;2,15;1,36;11,58;0,42;3,66;0,19;1,58;6,76;1,74;3,95;1,52;0,25;12,21;1,37;1,97;4,28;1,18;6,82;0,02;-1167,55;252,57;-173,39;786,95;-301,42;-1482,62;-22,07;-201,58;459,63;-1246,64;-1602,72;-178,57;-31,72;829,98;-983,03;-798,03;502,78;-150,47;463,09;17,37
